Name: name of the instance
V: number of vertices
V_R: number of aisolated required vertices
E_R: number required edges
E_NR: number non-required edges
E: number of edges
A_R: number of required arcs
A_NR: number of non-required arcs
A: number of arcs
R-sets: number of R-sets

Name	 V	V_R	E_R	E_NR	E	A_R	A_NR	A	R-sets
ALBA_3_1 116	44	51	123	174	0	0	0	67
ALBA_3_2 116	48	46	128	174	0	0	0	72
ALBA_3_3 116	57	44	130	174	0	0	0	73
ALBA_3_4 116	46	49	125	174	0	0	0	68
ALBA_3_5 116	43	57	117	174	0	0	0	63
ALBA_5_1 116	15	88	86	174	0	0	0	34
ALBA_5_2 116	16	92	82	174	0	0	0	31
ALBA_5_3 116	17	92	82	174	0	0	0	29
ALBA_5_4 116	25	88	86	174	0	0	0	34
ALBA_5_5 116	14	91	83	174	0	0	0	31
ALBA_7_1 116	12	118	56	174	0	0	0	19
ALBA_7_2 116	8	122	52	174	0	0	0	11
ALBA_7_3 116	6	113	61	174	0	0	0	16
ALBA_7_4 116	6	119	55	174	0	0	0	11
ALBA_7_5 116	6	116	58	174	0	0	0	14
GRP1	 116	22	61	113	174	0	0	0	57
GRP2	 116	22	64	110	174	0	0	0	53
GRP3	 116	21	61	113	174	0	0	0	56
GRP4	 116	31	88	86	174	0	0	0	49
GRP5	 116	24	72	102	174	0	0	0	46
GRP6	 116	6	126	48	174	0	0	0	11
GRP7	 116	38	52	122	174	0	0	0	65
GRP8	 116	27	81	93	174	0	0	0	48
GRP9	 116		59	115	174	0	0	0	45
GRP10	 116	31	87	87	174	0	0	0	49
MADR_3_1 196	69	86	230	316	0	0	0	112
MADR_3_2 196	54	108	208	316	0	0	0	89
MADR_3_3 196	59	102	214	316	0	0	0	96
MADR_3_4 196	56	101	215	316	0	0	0	96
MADR_3_5 196	65	95	221	316	0	0	0	104
MADR_5_1 196	20	163	153	316	0	0	0	42
MADR_5_2 196	22	156	160	316	0	0	0	48
MADR_5_3 196	31	148	168	316	0	0	0	54
MADR_5_4 196	30	152	164	316	0	0	0	54
MADR_5_5 196	27	147	169	316	0	0	0	54
MADR_7_1 196	8	211	105	316	0	0	0	16
MADR_7_2 196	4	238	78	316	0	0	0	7
MADR_7_3 196	5	219	97	316	0	0	0	12
MADR_7_4 196	4	225	91	316	0	0	0	8
MADR_7_5 196	5	223	93	316	0	0	0	9
